Frame,People,Violence
1,8,0.0
2,9,0.24689701631313765
3,8,0.29381130649223774
4,8,0.2684326995325803
5,9,0.29166859810285045
6,9,0.2588132436932341
7,9,0.27550002690538805
8,8,0.26895111953135387
9,6,0.27061094035450395
10,7,0.2543790531018483
11,7,0.24744260631375398
12,7,0.2298619812250795
13,7,0.21794335045945207
14,8,0.21047995984308168
15,9,0.2123837955931318
16,8,0.21374372788235124
17,9,0.22973411840278027
18,9,0.22952193893725617
19,8,0.22773966479693245
20,8,0.21285706478872482
21,10,0.2213296624701095
22,10,0.19965486667024485
23,9,0.2137074079283452
24,9,0.21263102570920997
25,9,0.22417931916723802
26,10,0.22169193926897424
27,9,0.23935687349224444
28,9,0.22583225462821618
29,8,0.22665521231667354
30,8,0.23461723953147348
31,10,0.24145876870754218
32,11,0.23851159380571954
33,10,0.24935360747247698
34,9,0.2527883136708976
35,7,0.26245708766682546
36,8,0.2568284057027917
37,9,0.2768128620508228
38,9,0.2799519951088203
39,9,0.291428281853663
40,9,0.29468861341140784
41,11,0.3018363047018322
42,9,0.30342604745857615
43,8,0.3250694362529207
44,9,0.2993364011149401
45,6,0.3125782850159845
46,7,0.2737763712614334
47,6,0.282733216088255
48,7,0.2766971635355652
49,7,0.30356233805931276
50,6,0.2912410033367494
51,6,0.3306979572958425
52,6,0.31181472633684415
53,7,0.29756185392143236
54,6,0.29106634125963476
55,8,0.28065491702746026
56,7,0.2731377804938654
57,9,0.26727892717872426
58,9,0.2659259783373337
59,10,0.25977501824830557
60,9,0.2575597780571398
61,8,0.2543511407320175
62,8,0.2507566884498031
63,8,0.2491936850106132
64,11,0.2516914311661746
65,11,0.2549497437048697
66,12,0.2560383535239937
67,10,0.2721515596435157
68,9,0.25225508325429363
69,10,0.25929029043818635
70,11,0.24403009761868014
71,9,0.2522960969680307
72,12,0.23748123490445852
73,12,0.24306124436386142
74,11,0.23261469466619467
75,12,0.23560742789990002
76,11,0.22332427659611284
77,12,0.22338340997029565
78,12,0.21407518548501958
79,11,0.20001857357099734
80,11,0.20306511268443103
81,12,0.19224297235676902
82,11,0.1816989280339139
83,11,0.1892388230745811
84,10,0.19915492955691988
85,9,0.1970838420093277
86,9,0.20962847837927906
87,9,0.20274268004571114
88,9,0.21342400592644192
89,10,0.2246960657458077
90,10,0.21611104972791004
91,7,0.22702961207889585
92,7,0.19668049513032718
93,7,0.20326515961024222
94,7,0.19344479117347535
95,8,0.20381262407183215
96,8,0.19084817397373968
97,7,0.2370006720802766
98,7,0.23674544114280183
99,7,0.23803200476980413
100,6,0.24822237444309056
101,7,0.24736514687210648
102,6,0.258501918982207
103,7,0.2696825838840401
104,6,0.2821160332150095
105,5,0.28810032688886916
106,6,0.2935041446859804
107,6,0.2892813747548364
108,6,0.2772610308035541
109,6,0.27497192018606886
110,7,0.26621976593774593
111,6,0.26824328492154303
112,5,0.27644338393591295
113,5,0.2957457922586482
114,5,0.27061536732132146
115,7,0.29052093841037896
116,7,0.2631155957591507
117,7,0.27446591266700976
118,8,0.259269724915687
119,9,0.2887412282383213
120,7,0.2786832786585588
121,10,0.31342465821038845
122,9,0.30053101388439807
123,9,0.30364047952452566
124,9,0.29995093160810765
125,8,0.29176294559146837
126,8,0.2911152404155494
127,10,0.2852278936531505
128,10,0.2686530866544938
129,9,0.25656359229415515
130,8,0.24291298551329538
131,8,0.23261531848005648
132,7,0.22899491899019514
133,7,0.22392026399562487
134,8,0.22415346827098345
135,10,0.2325237237765238
136,9,0.22787707354683606
137,7,0.23453692828562525
138,7,0.23424424387311493
139,7,0.24791697076651792
140,7,0.22728404442473132
141,8,0.2421994985000154
142,9,0.22854603572448867
143,9,0.23747773163793476
144,8,0.23057030954127775
145,7,0.2509119763097873
146,8,0.23505571684491255
147,9,0.2365086089598452
148,9,0.2390058290492319
149,9,0.23183336762894294
150,8,0.22374748392515104
151,8,0.22543790416774795
